code,0501,name,industry
000002.SZ,1.149,万科A,房地产
000063.SZ,0.626,中兴通讯,通信
000069.SZ,0.267,华侨城A,房地产
000100.SZ,0.319,TCL集团,家电
000157.SZ,0.182,中联重科,机械
000166.SZ,0.284,申万宏源,非银行金融
000333.SZ,1.989,美的集团,家电
000338.SZ,0.49,潍柴动力,汽车
000402.SZ,0.081,金融街,房地产
000408.SZ,0.05,藏格控股,基础化工
000413.SZ,0.194,东旭光电,电子
000415.SZ,0.067,渤海租赁,非银行金融
000423.SZ,0.164,东阿阿胶,医药
000425.SZ,0.176,徐工机械,机械
000503.SZ,0.131,国新健康,医药
000538.SZ,0.377,云南白药,医药
000553.SZ,0.023,安道麦A,基础化工
000568.SZ,0.467,泸州老窖,食品饮料
000625.SZ,0.136,长安汽车,汽车
000627.SZ,0.084,天茂集团,非银行金融
000630.SZ,0.129,铜陵有色,有色金属
000651.SZ,2.189,格力电器,家电
000661.SZ,0.339,长春高新,医药
000671.SZ,0.091,阳光城,房地产
000703.SZ,0.144,恒逸石化,石油石化
000709.SZ,0.111,河钢股份,钢铁
000725.SZ,0.698,京东方A,电子
000728.SZ,0.162,国元证券,非银行金融
000768.SZ,0.18,中航飞机,国防军工
000776.SZ,0.377,广发证券,非银行金融
000783.SZ,0.25,长江证券,非银行金融
000786.SZ,0.134,北新建材,建材
000826.SZ,0.066,启迪环境,电力及公用事业
000839.SZ,0.105,中信国安,综合
000858.SZ,1.626,五粮液,食品饮料
000876.SZ,0.299,新希望,农林牧渔
000895.SZ,0.225,双汇发展,食品饮料
000898.SZ,0.081,鞍钢股份,钢铁
000938.SZ,0.065,紫光股份,计算机
000959.SZ,0.051,首钢股份,钢铁
000961.SZ,0.134,中南建设,房地产
000963.SZ,0.208,华东医药,医药
000983.SZ,0.089,西山煤电,煤炭
001965.SZ,0.038,招商公路,交通运输
001979.SZ,0.427,招商蛇口,房地产
002001.SZ,0.134,新和成,医药
002007.SZ,0.195,华兰生物,医药
002008.SZ,0.273,大族激光,电子
002024.SZ,0.385,苏宁易购,商贸零售
002027.SZ,0.366,分众传媒,传媒
002032.SZ,0.091,苏泊尔,家电
002044.SZ,0.235,美年健康,医药
002050.SZ,0.139,三花智控,家电
002065.SZ,0.12,东华软件,计算机
002081.SZ,0.139,金螳螂,建筑
002085.SZ,0.086,万丰奥威,汽车
002120.SZ,0.042,韵达股份,交通运输
002142.SZ,0.488,宁波银行,银行
002146.SZ,0.147,荣盛发展,房地产
002153.SZ,0.082,石基信息,计算机
002179.SZ,0.135,中航光电,国防军工
002202.SZ,0.262,金风科技,电力设备及新能源
002230.SZ,0.387,科大讯飞,计算机
002236.SZ,0.243,大华股份,电子
002241.SZ,0.17,歌尔股份,电子
002252.SZ,0.103,上海莱士,医药
002271.SZ,0.144,东方雨虹,建材
002294.SZ,0.082,信立泰,医药
002304.SZ,0.58,洋河股份,食品饮料
002310.SZ,0.072,东方园林,建筑
002311.SZ,0.198,海大集团,农林牧渔
002352.SZ,0.132,顺丰控股,交通运输
002411.SZ,0.051,延安必康,基础化工
002415.SZ,0.987,海康威视,电子
002422.SZ,0.203,科伦药业,医药
002456.SZ,0.188,欧菲光,电子
002460.SZ,0.157,赣锋锂业,有色金属
002466.SZ,0.166,天齐锂业,有色金属
002468.SZ,0.06,申通快递,交通运输
002475.SZ,0.527,立讯精密,电子
002493.SZ,0.136,荣盛石化,石油石化
002508.SZ,0.113,老板电器,家电
002555.SZ,0.071,三七互娱,传媒
002558.SZ,0.095,巨人网络,传媒
002572.SZ,0.118,索菲亚,轻工制造
002594.SZ,0.422,比亚迪,汽车
002601.SZ,0.078,龙蟒佰利,基础化工
002602.SZ,0.075,世纪华通,传媒
002624.SZ,0.091,完美世界,传媒
002625.SZ,0.036,光启技术,汽车
002673.SZ,0.152,西部证券,非银行金融
002714.SZ,0.328,牧原股份,农林牧渔
002736.SZ,0.248,国信证券,非银行金融
002773.SZ,0.055,康弘药业,医药
002797.SZ,0.121,第一创业,非银行金融
002925.SZ,0.035,盈趣科技,电子
300003.SZ,0.233,乐普医疗,医药
300015.SZ,0.291,爱尔眼科,医药
300017.SZ,0.131,网宿科技,通信
300024.SZ,0.15,机器人,机械
300033.SZ,0.16,同花顺,计算机
300059.SZ,0.51,东方财富,传媒
300070.SZ,0.137,碧水源,电力及公用事业
300072.SZ,0.093,三聚环保,基础化工
300122.SZ,0.169,智飞生物,医药
300124.SZ,0.206,汇川技术,机械
300136.SZ,0.171,信维通信,通信
300142.SZ,0.274,沃森生物,医药
300144.SZ,0.134,宋城演艺,消费者服务
300251.SZ,0.056,光线传媒,传媒
300296.SZ,0.112,利亚德,电子
300408.SZ,0.169,三环集团,电子
300433.SZ,0.054,蓝思科技,电子
600000.SH,1.15,浦发银行,银行
600004.SH,0.129,白云机场,交通运输
600009.SH,0.557,上海机场,交通运输
600010.SH,0.254,包钢股份,钢铁
600011.SH,0.243,华能国际,电力及公用事业
600015.SH,0.404,华夏银行,银行
600016.SH,1.3,民生银行,银行
600018.SH,0.214,上港集团,交通运输
600019.SH,0.523,宝钢股份,钢铁
600023.SH,0.158,浙能电力,电力及公用事业
600025.SH,0.06,华能水电,电力及公用事业
600027.SH,0.111,华电国际,电力及公用事业
600028.SH,0.578,中国石化,石油石化
600029.SH,0.239,南方航空,交通运输
600030.SH,1.484,中信证券,非银行金融
600031.SH,0.588,三一重工,机械
600036.SH,2.908,招商银行,银行
600038.SH,0.103,中直股份,国防军工
600048.SH,0.788,保利地产,房地产
600050.SH,0.508,中国联通,通信
600061.SH,0.096,国投资本,非银行金融
600066.SH,0.155,宇通客车,汽车
600068.SH,0.154,葛洲坝,建筑
600085.SH,0.14,同仁堂,医药
600089.SH,0.235,特变电工,电力设备及新能源
600100.SH,0.177,同方股份,计算机
600104.SH,0.785,上汽集团,汽车
600109.SH,0.203,国金证券,非银行金融
600111.SH,0.183,北方稀土,有色金属
600115.SH,0.22,东方航空,交通运输
600118.SH,0.112,中国卫星,国防军工
600153.SH,0.134,建发股份,交通运输
600157.SH,0.105,永泰能源,煤炭
600170.SH,0.139,上海建工,建筑
600176.SH,0.187,中国巨石,建材
600177.SH,0.196,雅戈尔,房地产
600188.SH,0.083,兖州煤业,煤炭
600196.SH,0.239,复星医药,医药
600208.SH,0.125,新湖中宝,房地产
600219.SH,0.147,南山铝业,有色金属
600221.SH,0.206,海航控股,交通运输
600233.SH,0.04,圆通速递,交通运输
600271.SH,0.233,航天信息,计算机
600276.SH,1.427,恒瑞医药,医药
600297.SH,0.1,广汇汽车,汽车
600309.SH,0.581,万华化学,基础化工
600332.SH,0.209,白云山,医药
600339.SH,0.059,中油工程,石油石化
600340.SH,0.463,华夏幸福,房地产
600346.SH,0.11,恒力石化,石油石化
600352.SH,0.433,浙江龙盛,基础化工
600362.SH,0.13,江西铜业,有色金属
600369.SH,0.121,西南证券,非银行金融
600372.SH,0.066,中航电子,国防军工
600383.SH,0.224,金地集团,房地产
600390.SH,0.045,五矿资本,非银行金融
600398.SH,0.133,海澜之家,纺织服装
600406.SH,0.299,国电南瑞,电力设备及新能源
600415.SH,0.096,小商品城,商贸零售
600436.SH,0.285,片仔癀,医药
600438.SH,0.227,通威股份,农林牧渔
600482.SH,0.135,中国动力,国防军工
600487.SH,0.219,亨通光电,通信
600489.SH,0.112,中金黄金,有色金属
600498.SH,0.168,烽火通信,通信
600516.SH,0.184,方大炭素,建材
600519.SH,4.006,贵州茅台,食品饮料
600522.SH,0.204,中天科技,通信
600535.SH,0.163,天士力,医药
600547.SH,0.177,山东黄金,有色金属
600549.SH,0.093,厦门钨业,有色金属
600566.SH,0.096,济川药业,医药
600570.SH,0.336,恒生电子,计算机
600583.SH,0.104,海油工程,石油石化
600585.SH,0.654,海螺水泥,建材
600588.SH,0.248,用友网络,计算机
600606.SH,0.223,绿地控股,房地产
600637.SH,0.191,东方明珠,传媒
600660.SH,0.288,福耀玻璃,汽车
600674.SH,0.128,川投能源,电力及公用事业
600688.SH,0.092,上海石化,石油石化
600690.SH,0.514,海尔智家,家电
600703.SH,0.262,三安光电,电子
600704.SH,0.081,物产中大,综合
600705.SH,0.212,中航资本,非银行金融
600739.SH,0.142,辽宁成大,非银行金融
600741.SH,0.304,华域汽车,汽车
600760.SH,0.106,中航沈飞,国防军工
600795.SH,0.262,国电电力,电力及公用事业
600809.SH,0.122,山西汾酒,食品饮料
600816.SH,0.099,安信信托,非银行金融
600837.SH,0.926,海通证券,非银行金融
600867.SH,0.184,通化东宝,医药
600886.SH,0.27,国投电力,电力及公用事业
600887.SH,1.542,伊利股份,食品饮料
600893.SH,0.179,航发动力,国防军工
600900.SH,0.911,长江电力,电力及公用事业
600909.SH,0.099,华安证券,非银行金融
600919.SH,0.416,江苏银行,银行
600926.SH,0.149,杭州银行,银行
600958.SH,0.327,东方证券,非银行金融
600977.SH,0.11,中国电影,传媒
600998.SH,0.072,九州通,医药
600999.SH,0.41,招商证券,非银行金融
601006.SH,0.415,大秦铁路,交通运输
601009.SH,0.421,南京银行,银行
601012.SH,0.472,隆基股份,电力设备及新能源
601018.SH,0.173,宁波港,交通运输
601021.SH,0.095,春秋航空,交通运输
601066.SH,0.085,中信建投,非银行金融
601088.SH,0.319,中国神华,煤炭
601108.SH,0.036,财通证券,非银行金融
601111.SH,0.248,中国国航,交通运输
601117.SH,0.1,中国化学,建筑
601138.SH,0.149,工业富联,通信
601155.SH,0.293,新城控股,房地产
601166.SH,2.032,兴业银行,银行
601169.SH,0.772,北京银行,银行
601186.SH,0.408,中国铁建,建筑
601198.SH,0.15,东兴证券,非银行金融
601211.SH,0.695,国泰君安,非银行金融
601212.SH,0.028,白银有色,有色金属
601216.SH,0.1,君正集团,基础化工
601225.SH,0.295,陕西煤业,煤炭
601228.SH,0.071,广州港,交通运输
601229.SH,0.567,上海银行,银行
601238.SH,0.095,广汽集团,汽车
601288.SH,1.179,农业银行,银行
601318.SH,7.634,中国平安,非银行金融
601328.SH,1.408,交通银行,银行
601333.SH,0.095,广深铁路,交通运输
601336.SH,0.392,新华保险,非银行金融
601360.SH,0.076,三六零,计算机
601377.SH,0.259,兴业证券,非银行金融
601390.SH,0.43,中国中铁,建筑
601398.SH,1.026,工商银行,银行
601555.SH,0.221,东吴证券,非银行金融
601600.SH,0.223,中国铝业,有色金属
601601.SH,0.931,中国太保,非银行金融
601607.SH,0.186,上海医药,医药
601611.SH,0.057,中国核建,建筑
601618.SH,0.194,中国中冶,建筑
601628.SH,0.413,中国人寿,非银行金融
601633.SH,0.089,长城汽车,汽车
601668.SH,1.053,中国建筑,建筑
601669.SH,0.267,中国电建,建筑
601688.SH,0.545,华泰证券,非银行金融
601727.SH,0.171,上海电气,电力设备及新能源
601766.SH,0.688,中国中车,机械
601788.SH,0.199,光大证券,非银行金融
601800.SH,0.237,中国交建,建筑
601808.SH,0.048,中海油服,石油石化
601818.SH,0.543,光大银行,银行
601828.SH,0.032,美凯龙,商贸零售
601838.SH,0.031,成都银行,银行
601857.SH,0.491,中国石油,石油石化
601877.SH,0.179,正泰电器,电力设备及新能源
601878.SH,0.109,浙商证券,非银行金融
601881.SH,0.122,中国银河,非银行金融
601888.SH,0.619,中国国旅,消费者服务
601898.SH,0.076,中煤能源,煤炭
601899.SH,0.329,紫金矿业,有色金属
601901.SH,0.235,方正证券,非银行金融
601919.SH,0.182,中远海控,交通运输
601933.SH,0.306,永辉超市,商贸零售
601939.SH,0.409,建设银行,银行
601985.SH,0.227,中国核电,电力及公用事业
601988.SH,0.671,中国银行,银行
601989.SH,0.425,中国重工,国防军工
601991.SH,0.067,大唐发电,电力及公用事业
601992.SH,0.107,金隅集团,综合
601997.SH,0.155,贵阳银行,银行
601998.SH,0.158,中信银行,银行
603156.SH,0.026,养元饮品,食品饮料
603160.SH,0.094,汇顶科技,电子
603259.SH,0.076,药明康德,医药
603260.SH,0.03,合盛硅业,有色金属
603288.SH,0.592,海天味业,食品饮料
603799.SH,0.118,华友钴业,有色金属
603833.SH,0.124,欧派家居,轻工制造
603858.SH,0.116,步长制药,医药
603986.SH,0.097,兆易创新,电子
603993.SH,0.243,洛阳钼业,有色金属
